param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.1;20;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.9416682261125546;0.8053083204386494
0.1;50;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9669223685033166;0.8088655547797111
0.1;100;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9877678955343063;0.8086484358170151
0.1;200;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9990868709588121;0.8076305339218227
0.1;500;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9993020652554672;0.7966498304151658
0.1;20;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9487763916387522;0.8067386039236012
0.1;50;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9731053403334806;0.8115440260771596
0.1;100;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.991156353639031;0.8101116339331882
0.1;200;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9993869620458178;0.8115701169764106
0.1;500;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9996507331017473;0.8023211828716031
0.1;20;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9442100060339575;0.8035006692545456
0.1;50;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9685718417697962;0.8079727477499824
0.1;100;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9900283219853767;0.8110926853822092
0.1;200;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9987989364456954;0.8095552053938073
0.1;500;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9996300292273368;0.7962714106750034
0.1;20;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9395224833019523;0.802354620556877
0.1;50;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9684895031784877;0.8074491234210565
0.1;100;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9889365921608737;0.8087412557034199
0.1;200;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.9991528084962555;0.8103312965347426
0.1;500;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9996455426893324;0.7968574971037066
