,city,coords
GANDEVI,20.81213888888889,72.99811111111111
Katni,23.48,80.4
Faridabad,28.4211,77.3078
Korba,22.363848,82.73484
Fatehpur,27.095018,77.668846
Kharagpur,22.330239,87.323653
Amritsar,31.636666666666667,74.86333333333333
Chandigarh,30.746666666666666,76.78333333333333
BAJWA,,
Sonbhadra,24.68972,83.06528
Hamirpur,31.690783,76.517715
Azamgarh,26.068,83.184
Bijapur,16.83,75.70666666666666
Nalanda,25.13667,85.44389
Osmanabad,18.31944,76.07361
Hanumangarh,29.58,74.32
Chamarajanagar,11.924,76.94346666666667
Karad,17.2718765,74.1800125
Tarn Taran,31.45,74.92530000000001
Vellore,12.920145999999999,79.132204
Kollam,8.88,76.6
Mirzapur,25.147333333333332,82.57266666666666
Basti,26.822845,82.763443
KAMREJ,21.26919,72.95864900000001
Banswara,23.55,74.45
DHORAJI,21.73358888888889,70.4500388888889
Rangareddy,17.3,78.1
Marigaon,26.253317,92.342405
Jabalpur,23.167,79.933
Keonjhar,21.63,85.58
Silvassa,20.27,73.02
Haridwar,29.945,78.163
SILVASA,20.27,73.02
North Cachar Hills,25.499997222222223,93.0
Daman & Diu,20.42,72.83
Chittorgarh,24.88,74.63
Salem,11.664325,78.146011
Sitamarhi,26.6,85.48
Virudhunagar,9.583,77.95
Gondia,21.4598,80.195
Medak,18.040666666666667,78.26533333333333
Bhubaneswar,20.27,85.84
Kolkata,22.5726,88.3639
Shahjahanpur,27.88,79.91
Tadipatri,14.92,78.02
Goalpara,26.17,90.62
Janjgir-Champa,22.01694,82.56694
LUNAWADA,23.133257,73.616074
Parbhani,19.2672925,76.780765
Junagadh,21.52,70.46533333333333
AMALSAD,20.817595,72.954918
VISNAGAR,23.697231,72.544571
Ropar,30.9676,76.53206666666667
Dhule,20.89981333333333,74.77314666666668
Bolangir,20.72,83.48
Fatehabad,29.511778,75.45521500000001
Nadia,23.4,88.5
Damanjodi,18.82,82.72
Papum Pare,27.15,93.72
Lakhimpur,27.235169444444445,94.10356944444443
Siddipet,18.1,78.85
BHACHAU,23.293039,70.33904299999999
Boudh,20.84,84.32
Jalandhar,31.2569,75.4432
Narmada,21.989588133333335,75.79125933333333
Pudukkottai,10.38,78.82
Datia,25.67,78.47
Bankura,23.25,87.07
Thoubal,24.63,94.02
Jagatsinghpur,20.27,86.17
Nanded,19.15,77.3
Idukki,9.85,76.94
Mainpuri,27.23,79.02
Kanyakumari,8.082666666666666,77.554
Asansol,23.68,86.99
Allahabad,25.45,81.85
Tumkur,13.34,77.1
Churachandpur,24.333,93.683
Andman & Nicobar,,
Bhilai,21.21,81.38
Sultanpur,26.264776,82.07270799999999
Bharuch,21.708,72.98533333333333
Dhamtari,20.71,81.55
Madhubani,26.353669444444446,86.07168888888889
Karnal,29.69,76.98
CHOTILA,22.423469444444446,71.19641111111112
Tiruvarur,10.275333333333332,79.52466666666666
Rewari,28.18,76.62
Dakshina Kannada,12.87,74.88
Gadchiroli,20.1,80.2
Chitradurga,14.23,76.4
Nawadah,24.879999,85.529999
Ratlam,23.328223333333334,75.04689
Anjaw,,
Giridih,24.18,86.3
Kurukshetra,29.965717,76.837006
Nilgiris,11.404398333333333,76.74839666666666
Reasi,33.08,74.83
East Godavari,16.95,82.25
Anand,22.556,72.950996
Mandya,12.52,76.9
Deogarh,21.536983000000003,84.732338
Prakasam,15.783330555555557,80.23333333333333
Haldwani,29.22,79.52
Mandi,31.711938888888888,76.93273055555557
Etah,27.63,78.67
Porbandar,21.63,69.6
Panchkula,30.74,76.8
Cuddalore,11.75,79.75
Hisar,29.151861,75.721123
Ramban,33.25,75.25
Burdwan,23.233,87.867
Kutch,23.915,70.367
Karur,10.95,78.08
Ambikapur,23.116444,83.196121
Mahabub Nagar,17.056620000000002,79.268333
DEESA,24.258503,72.190674
Raichur,16.2,77.37
Bhuj,23.25,69.67
Yadgir,16.77,77.13
Bandipore,34.4167,74.65
Hoshangabad,22.75,77.72
Pithoragarh,29.58,80.22
Muzaffarnagar,29.482217,77.700116
Beawar,26.1,74.32
AHMEDB,23.033863,72.585022
Baksa,26.399997222222222,90.26866666666666
Raigad,18.233780555555555,73.43746944444445
Buldhana,20.53278,76.18278
Haveri,14.795926666666666,75.40259333333334
Lohardaga,23.43,84.68
Bhandara,21.17,79.65
Sabarkantha,23.6,72.95
Muktsar,30.29,74.31
Hassan,13.009711,76.102898
Tamenglong,24.9906639,93.5009056
Kendrapara,20.5,86.42
Moradabad,28.83,78.78
Anuppur,23.1,81.68
Dharmapuri,12.126,78.154
Firozpur,30.9166,74.6
Dahod,22.83472,74.25556
Kalka,30.83,76.93
Patiala,30.333333333333332,76.38666666666667
Koraput,18.844066666666667,82.7298
Jyotiba Phule Nagar,28.9,78.47
Pollachi,10.66,77.0075
Deoghar,24.48,86.7
ADIPUR,,
Krishnagiri,12.53,78.23
Belgaum,15.856666666666666,74.5
Tiruchirapalli,10.805,78.68556
Barmer,25.753155,71.41806000000001
Barnala,,
Ludhiana,30.906666666666666,75.85
Noida,28.57,77.32
Dungarpur,23.84,73.72
Chhindwara,22.07,78.93
Sirmaur,,
Krishna,15.754239,80.89727
Rayagada,19.17,83.42
Sibsagar,26.98,94.63
Anantnag,33.73,75.15
Bundi,25.44,75.64
Dhubri,26.012802,89.977562
Maharajganj,27.140041,83.550888
Davanagere,14.4666,75.9242
Shilong,25.57,91.88
Rajpura,30.482666666666667,76.59599999999999
Malout,30.19,74.499
Morvi,22.82,70.83
Chamoli,30.42,79.33
Rajahmundry,16.98,81.78
Bellary,15.116666666666667,76.92133333333334
Ankleshwar,21.617355,72.997627
Aluva,10.1167,76.35
Siliguri,26.71,88.43
Sonipat,28.986666666666665,77.02133333333333
Darbhanga,26.17,85.9
Karauli,26.5,77.02
Bikaner,28.01667,73.31194
South 24 Parganas,22.53,88.33
Satna,24.513666666666666,80.71813333333333
Koppal,15.35,76.15
Siddharthnagar,27.2335,82.9585
Cooch Behar,26.345595000000003,89.467
Pondicherry,11.917,79.817
Sirsa,29.532,75.018
Cachar,25.083,92.917
Thanjavur,10.788886666666667,79.14074000000001
Rajkot,22.3,70.7822
Bardhaman,23.233,87.867
Vijayawada,16.5193,80.6305
Motihari,26.65,84.91667
Visakhapatnam,17.704169,83.29777933333334
Kolhapur,16.69167,74.23333
Kangra,32.099804,76.269104
Ambala,30.38,76.78
Chandel,,
Alappuzha,9.506666666666666,76.35333333333334
Khandwa,21.823333333333334,76.34333333333333
Jamtara,23.958866666666665,86.80093333333333
Kanpur Nagar,26.46,80.33
Nellore,14.446666666666665,79.98666666666666
Mewat,,
Almora,29.5971,79.6591
Nawanshahr,31.1167,76.1333
Nagapattinam,10.77,79.83
Nalbari,26.445,91.44
Latur,18.4,76.56
Kurnool,15.8311,78.05
Surendra Nagar,22.728392,71.637077
Midnapore East,21.937288,87.776337
Purnia,25.78,87.47
Mahbubnagar,16.743333333333332,77.99333333333334
Goa,15.5,73.83
Narsinghpur,22.948666666666668,79.19666666666666
Gumla,23.041924,84.54083299999999
Gadwal,16.23,77.8
Bhojpur,25.33,84.42
Ahmedabad,23.03,72.58
Jamui,24.92,86.22
Bijnor,29.37,78.13
Mandla,22.6,80.38
Bharatpur,27.216981999999998,77.489517
Dhar,22.598,75.304
Gandhidham,23.08,70.13
Abohar,30.1334,74.2001
Dumka,24.27,87.25
Nagaur,27.2,73.73
Jalna,19.846811,75.89063300000001
UDWADA,20.4875,72.8707
Ambedkar Nagar,26.468394999999997,82.69154400000001
Hapur,28.727291333333334,77.77715733333334
Adilabad,19.67,78.53
Muzaffarpur,26.12125,85.39528
