dataset;data_variant;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_pca;60;0.7317033983787626;0.719176683586217;0.0786977397821759;0.07581607581607581;0.7589213207691718;0.7579407032866008;0.7036649214659686;0.6792452830188679;0.04167958816597407;0.04014869888475837;48859.0;16273.0;15451.0;5164.0;283.0;102.0;672.0;216.0
2;_pca;65;0.7383756770420762;0.724151624050934;0.07738721284251314;0.0742705570291777;0.7446257565310657;0.743323373937026;0.7319371727748691;0.7044025157232704;0.04085330216247808;0.0392019600980049;47899.0;15947.0;16411.0;5490.0;256.0;94.0;699.0;224.0
2;_pca;70;0.7485962545621219;0.7315618854487466;0.07685855090699381;0.07361769352290679;0.7302076151076381;0.7304527694782809;0.7675392670157068;0.7327044025157232;0.0404547712346156;0.038755821689953424;46924.0;15658.0;17386.0;5779.0;222.0;85.0;733.0;233.0
2;_pca;75;0.7487343699244742;0.7394619541890043;0.07465147654024884;0.07325563795973966;0.7162491381291657;0.7185474603539416;0.7821989528795812;0.7610062893081762;0.03919613810473292;0.0384798855143902;45999.0;15390.0;18311.0;6047.0;208.0;76.0;747.0;242.0
2;_pca;a;0.7424738321660218;0.7257898161733534;0.07692722081560092;0.07361764228960596;0.7374549911897648;0.7373937025971041;0.7476439790575916;0.7138364779874213;0.040549750113584734;0.038810053000512906;47416.0;15815.0;16894.0;5622.0;241.0;91.0;714.0;227.0
2;_scaled;40;0.7240093591170387;0.7044823166200331;0.09651872628279162;0.09095452273863068;0.832191833295028;0.8327740749253045;0.612565445026178;0.5723270440251572;0.05238649592549476;0.0494028230184582;53728.0;17935.0;10582.0;3502.0;370.0;136.0;585.0;182.0
2;_scaled;45;0.7301557573305351;0.7157095253225554;0.09159851301115242;0.08843537414965986;0.8127939937179193;0.8152148931280165;0.6450261780104712;0.6132075471698113;0.04929971988795518;0.047653958944281524;52431.0;17540.0;11879.0;3897.0;339.0;123.0;616.0;195.0
2;_scaled;50;0.7343374411086353;0.7196815269432179;0.0874123493770849;0.0848130353039482;0.7946066038458592;0.7986210066651345;0.6722513089005235;0.6383647798742138;0.04674530362603757;0.045424032221973595;51218.0;17171.0;13092.0;4266.0;313.0;115.0;642.0;203.0
2;_scaled;55;0.7380213722634393;0.7267048860152743;0.08424653195667321;0.08239845261121857;0.7784877039760975;0.7819351873132613;0.6963350785340314;0.6698113207547169;0.04483549083063646;0.043899422918384175;50143.0;16798.0;14167.0;4639.0;290.0;105.0;665.0;213.0
2;_scaled;60;0.7437580241646932;0.7329022911365555;0.08213479139427075;0.08043478260869565;0.763364743737072;0.7666743277407493;0.7235602094240837;0.6981132075471698;0.04353852939323294;0.04267589388696655;49130.0;16457.0;15180.0;4980.0;264.0;96.0;691.0;222.0
2;_scaled;65;0.7455834427645541;0.7352223848556674;0.07976116712668281;0.07820270965529069;0.7496820654255727;0.7529303608365893;0.7413612565445026;0.7169811320754716;0.04214787474699369;0.04135679303464539;48220.0;16152.0;16090.0;5285.0;247.0;90.0;708.0;228.0
2;_scaled;70;0.7497285725799688;0.7424227288210034;0.07815599035111231;0.0772238514173998;0.7365050180035241;0.7396460583773845;0.7633507853403141;0.7452830188679245;0.041186440677966105;0.040721649484536084;47339.0;15854.0;16971.0;5583.0;226.0;81.0;729.0;237.0
2;_scaled;75;0.7498484923729221;0.7462685012658125;0.07599344530929947;0.07563546187228766;0.7235271585076227;0.725856125028729;0.7769633507853403;0.7672955974842768;0.03995046572982286;0.03977828496902511;46479.0;15547.0;17831.0;5890.0;213.0;74.0;742.0;244.0
2;_scaled;a;0.7479994236034393;0.7411577232452091;0.07903704517972959;0.07816936696175046;0.7432620853443653;0.7463111928292346;0.7528795811518325;0.7358490566037735;0.0417077556702825;0.04127712118539425;47790.0;16002.0;16520.0;5435.0;236.0;84.0;719.0;234.0
2;_woe_scaled;40;0.7343751755445035;0.7019221600929211;0.0937429239942637;0.0857076673615937;0.8160269669807707;0.8185704435761894;0.650261780104712;0.5817610062893082;0.050512445095168376;0.046261565391347834;52637.0;17623.0;11673.0;3814.0;334.0;133.0;621.0;185.0
2;_woe_scaled;45;0.7366935434629872;0.7148712491744862;0.08759124087591241;0.0835421888053467;0.7931509997701678;0.7982992415536658;0.6785340314136126;0.6289308176100629;0.04681742648652554;0.0447427293064877;51117.0;17167.0;13193.0;4270.0;307.0;118.0;648.0;200.0
2;_woe_scaled;50;0.7480004412527343;0.7259681213020573;0.0851221317542561;0.08121442125237191;0.7727418984141576;0.7774304757527005;0.7225130890052356;0.6729559748427673;0.045225142557514586;0.04321486268174475;49743.0;16699.0;14567.0;4738.0;265.0;104.0;690.0;214.0
2;_woe_scaled;55;0.7477552691845211;0.732035189848387;0.08083456846425721;0.07867931155602388;0.7529456829847545;0.7588600321765111;0.7424083769633508;0.7044025157232704;0.04274431783927172;0.041666666666666664;48432.0;16285.0;15878.0;5152.0;246.0;94.0;709.0;224.0
2;_woe_scaled;60;0.7536189644237947;0.7361004881057056;0.07899962432243868;0.07647931432338882;0.7370566153374704;0.7424500114916112;0.7706806282722513;0.7295597484276729;0.04163366896707772;0.04035484432075143;47368.0;15920.0;16942.0;5517.0;219.0;86.0;736.0;232.0
2;_woe_scaled;65;0.75569069485908;0.7355654260267691;0.07678616831934909;0.07369402985074627;0.7218264000612886;0.7261319236957021;0.7905759162303665;0.7452830188679245;0.04035275253874933;0.03876349362119725;46355.0;15560.0;17955.0;5877.0;200.0;81.0;755.0;237.0
2;_woe_scaled;70;0.7577027096337196;0.7439649104895051;0.0750680669000389;0.07312018946121966;0.7085114533057535;0.7121581245690646;0.8083769633507853;0.7767295597484277;0.03936164788660582;0.03836595215905561;45469.0;15246.0;18841.0;6191.0;183.0;71.0;772.0;247.0
2;_woe_scaled;75;0.7580170004420668;0.7470780256201952;0.07330967500933881;0.07194653775060429;0.6959166475139814;0.6999770167777523;0.8219895287958116;0.7955974842767296;0.03836567127706368;0.03767684288905435;44634.0;14975.0;19676.0;6462.0;170.0;65.0;785.0;253.0
2;_woe_scaled;a;0.7563649485761458;0.7370636731942041;0.07582608695652174;0.0730260155180283;0.7150233662759519;0.7199264536888071;0.7989528795811518;0.7547169811320755;0.03980177360459051;0.03836930455635491;45903.0;15422.0;18407.0;6015.0;192.0;78.0;763.0;240.0
2;_woe_pca;40;0.7226262516068682;0.6919380263888656;0.09005628517823638;0.08176243470361119;0.8142189534972804;0.8141576649046196;0.6282722513089005;0.5660377358490566;0.04850444624090541;0.044063647490820076;52540.0;17532.0;11770.0;3905.0;355.0;138.0;600.0;180.0
2;_woe_pca;45;0.731292186651535;0.6961158380429066;0.08565310492505353;0.07742461287693561;0.7906381674710794;0.7918639393242932;0.6701570680628273;0.5974842767295597;0.04575023232539853;0.04139433551198257;50961.0;17037.0;13349.0;4400.0;315.0;128.0;640.0;190.0
2;_woe_pca;50;0.7416401331573751;0.714584538048158;0.08297289064879683;0.07717872968980798;0.7693557036696544;0.7702597104113996;0.7130890052356021;0.6572327044025157;0.04404915912031048;0.040996469203609255;49531.0;16548.0;14779.0;4889.0;274.0;109.0;681.0;209.0
2;_woe_pca;55;0.7464750663710871;0.7208381998678004;0.07988748241912799;0.07510288065843622;0.7494062667585996;0.7520569983911745;0.743455497382199;0.6886792452830188;0.04221165279429251;0.0397170837867247;48200.0;16142.0;16110.0;5295.0;245.0;99.0;710.0;219.0
2;_woe_pca;60;0.749692507088945;0.7291773202330774;0.07743094068557545;0.0738718484021198;0.7323680379989275;0.7349115145943461;0.7675392670157068;0.7232704402515723;0.04077205473356325;0.038923675748857675;47065.0;15758.0;17245.0;5679.0;222.0;88.0;733.0;230.0
2;_woe_pca;65;0.7525781127246054;0.7352581045585382;0.07541131169675451;0.0726223032512914;0.7167088025741208;0.7194208227993565;0.7895287958115184;0.7515723270440252;0.039596681020901164;0.038154533844189015;46022.0;15412.0;18288.0;6025.0;201.0;79.0;754.0;239.0
2;_woe_pca;70;0.7555232711970243;0.7472687262926057;0.07376697641172265;0.07288037166085948;0.7021834061135371;0.7064582854516204;0.8104712041884817;0.789308176100629;0.038642036944583125;0.03820395738203958;45054.0;15118.0;19256.0;6319.0;181.0;67.0;774.0;251.0
2;_woe_pca;75;0.7551145018281051;0.7527334740997681;0.071786919638785;0.07193445354811832;0.6881636405424041;0.6928062514364514;0.8240837696335078;0.8144654088050315;0.03752801487768823;0.037628940868807206;44126.0;14813.0;20184.0;6624.0;168.0;59.0;787.0;259.0
2;_woe_pca;a;0.7549785438822588;0.7397843850182031;0.07485322896281801;0.0725111441307578;0.7102581781965832;0.713077453458975;0.8010471204188482;0.7672955974842768;0.03926096997690531;0.038053649407361195;45590.0;15269.0;18720.0;6168.0;190.0;74.0;765.0;244.0
3;_pca;40;0.7174234178199348;0.7050187722808064;0.09432875133755866;0.09148027142498115;0.8314104037386042;0.8338313031487015;0.6;0.5723270440251572;0.05118813650169734;0.0497131931166348;53689.0;17958.0;10621.0;3479.0;382.0;136.0;573.0;182.0
3;_pca;45;0.7203014114388666;0.7055058658059905;0.08897831433042701;0.08519269776876268;0.812686738680763;0.8134222017926913;0.625130890052356;0.5943396226415094;0.047897946084724;0.045884923525127456;52443.0;17507.0;11867.0;3930.0;358.0;129.0;597.0;189.0
3;_pca;50;0.7269065252486931;0.7094312191083247;0.0855119825708061;0.08181063122923589;0.7941929058453995;0.7967363824408182;0.6575916230366492;0.6194968553459119;0.045729265273428965;0.04379724321920854;51205.0;17136.0;13105.0;4301.0;327.0;121.0;628.0;197.0
3;_pca;55;0.7336618440944997;0.7288232771001057;0.08315929371558763;0.08243865030674846;0.7780280395311423;0.7800045966444495;0.6879581151832461;0.6761006289308176;0.0442543446046073;0.043895467537770516;50121.0;16754.0;14189.0;4683.0;298.0;103.0;657.0;215.0
3;_pca;60;0.7350467426674299;0.7307701842725928;0.08010443244526197;0.0797402128811113;0.7624607369953268;0.7655251666283613;0.7068062827225131;0.6949685534591195;0.04245817083909926;0.042296650717703346;49087.0;16433.0;15223.0;5004.0;280.0;97.0;675.0;221.0
3;_pca;65;0.7356228949924326;0.7310514677643984;0.07751067175915524;0.07696237016856802;0.7483490385352026;0.7508159043897954;0.7225130890052356;0.710691823899371;0.04095198528102558;0.04068406840684068;48151.0;16108.0;16159.0;5329.0;265.0;92.0;690.0;226.0
3;_pca;70;0.7408462445891587;0.7352937509149965;0.07624037639007698;0.07552674230145869;0.7352639240021451;0.7378074005975638;0.7465968586387435;0.7327044025157232;0.04017127725505662;0.039815447710184554;47274.0;15818.0;17036.0;5619.0;242.0;85.0;713.0;233.0
3;_pca;75;0.7447425795048689;0.7351922394801441;0.07475302984010593;0.07351116625310174;0.721596567838811;0.7253964605837738;0.768586387434555;0.7452830188679245;0.03928705240057807;0.03866231647634584;46361.0;15544.0;17949.0;5893.0;221.0;81.0;734.0;237.0
3;_pca;a;0.7387801315779833;0.7340753936575304;0.07706663739159073;0.07645005816852252;0.7423734007507853;0.7445644679384049;0.7350785340314137;0.7232704402515723;0.0406650060823727;0.040357957536409896;47749.0;15968.0;16561.0;5469.0;253.0;88.0;702.0;230.0
3;_scaled;40;0.7217751711482585;0.7097590775720459;0.09574818721160185;0.09294147199196182;0.8318547460353941;0.8340151689266835;0.6083769633507854;0.5817610062893082;0.05196315177533316;0.050505050505050504;53710.0;17959.0;10600.0;3478.0;374.0;133.0;581.0;185.0
3;_scaled;45;0.7287483483551939;0.7144870606659912;0.09131535826009235;0.08830223031406463;0.8130697923848924;0.8158584233509538;0.6418848167539267;0.610062893081761;0.049154037366690724;0.04759568204121688;52452.0;17555.0;11858.0;3882.0;342.0;124.0;613.0;194.0
3;_scaled;50;0.733264350279772;0.7198681202165303;0.08740254411161263;0.08495501150868383;0.7955412548839347;0.7989887382210986;0.669109947643979;0.6383647798742138;0.046754957196165944;0.04550549204214302;51282.0;17179.0;13028.0;4258.0;316.0;115.0;639.0;203.0
