param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.05;500;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9994594527089607;0.8199649912410938
0.05;20;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.936848210720543;0.8388993236038265
0.05;50;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9593794260261499;0.8405639096018136
0.05;100;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9736927685785223;0.8429129183029506
0.05;200;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9893597001269361;0.8390823945245947
0.05;500;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9996570234750012;0.8227059477668356
0.05;20;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9346983664826608;0.8393734956196867
0.05;50;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9565257316222876;0.8427659972564411
0.05;100;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9709438500376102;0.844836606778651
0.05;200;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.9865665294364212;0.8411524822426782
0.05;500;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9996522394103422;0.8260860769765992
0.1;20;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8556654018384577;0.8333436370952045
0.1;50;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8742203651700526;0.842839127442205
0.1;100;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8911785892003152;0.8462933375477372
0.1;200;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.9111193782841865;0.8475554222087047
0.1;500;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.9480885124668632;0.8412074564212475
