data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_woe_scaled;4;0.8468432957268808;0.9272658065734802;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;4;0.846797948616486;0.9532732146854529;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;1;0.8467621898585231;0.9489955036656057;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;4;0.846746119023984;0.9516941075501331;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;2;0.8467358192185355;0.9446019462575203;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8465960289014486;0.8911188891231818;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;2;0.8465599133636444;0.8628999031709229;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;1;0.846544601532656;0.8822161706349956;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.8465413481270363;0.9292481930834396;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8465401738791144;0.9489369972348453;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;2;0.8465318639214572;0.8892923325884584;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8465129341197728;0.9345325118515978;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8464675296559951;0.9239066396387478;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;3;0.8464562115509728;0.8659961385109307;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8464512546364413;0.8903616294591575;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;1;0.846412337292108;0.9234272044721538;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8464114645461962;0.95011316620361;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.8463922661612558;0.8881660728217285;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;1;0.8463761050559253;0.9235096429555775;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;1;0.8463751280190499;0.8836381983183555;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;4;0.8463644289341025;0.9634693573024661;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8463453515262118;0.8905578808444569;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8463383236013629;0.9226674350084867;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8463369291978455;0.8655303955557212;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
