dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
3;_pca;0.05;200;7;0.75;0.9919339359838718;0.8119065092676234
3;_pca;0.05;500;7;0.75;0.9998364837849567;0.8066139257231302
3;_pca;0.05;20;7;0.9;0.9283773515746684;0.803985978155529
3;_pca;0.05;50;7;0.9;0.9624262345118534;0.8084611207456833
3;_pca;0.05;100;7;0.9;0.974710272735101;0.8114968906655892
3;_pca;0.05;200;7;0.9;0.9889812370887779;0.8106635057560249
3;_pca;0.05;500;7;0.9;0.9999589537097828;0.8083947604227552
3;_pca;0.1;20;3;;0.8317157495242271;0.7927409473462725
3;_pca;0.1;50;3;;0.8606911734191327;0.8015527599322462
3;_pca;0.1;100;3;;0.8831448725341573;0.8082590270540716
3;_pca;0.1;200;3;;0.9113664797345371;0.8105937265663602
3;_pca;0.1;500;3;;0.9625490803622123;0.8059279783829714
3;_pca;0.1;20;3;0.5;0.8324721127817781;0.7942457176174729
3;_pca;0.1;50;3;0.5;0.8591996514440656;0.8047302225474808
3;_pca;0.1;100;3;0.5;0.8824840693349936;0.8101889486796796
3;_pca;0.1;200;3;0.5;0.9102167073495404;0.8126365287366911
3;_pca;0.1;500;3;0.5;0.9584133374785564;0.8135031824958452
3;_pca;0.1;20;3;0.75;0.8325719526861761;0.7943047388901767
3;_pca;0.1;50;3;0.75;0.8592561073191383;0.8041081604380682
3;_pca;0.1;100;3;0.75;0.8832258149629019;0.8106213851430021
3;_pca;0.1;200;3;0.75;0.9127676264148407;0.8140470026832725
3;_pca;0.1;500;3;0.75;0.9605656200663156;0.8098091651474569
3;_pca;0.1;20;3;0.9;0.8318671497403534;0.7928647985381394
3;_pca;0.1;50;3;0.9;0.8600148421297529;0.8019412785831928
3;_pca;0.1;100;3;0.9;0.8848298444398437;0.8078627825907162
3;_pca;0.1;200;3;0.9;0.9135618453421515;0.8112921140569526
3;_pca;0.1;500;3;0.9;0.9637537750240499;0.807814267654105
3;_pca;0.1;20;5;;0.8921883771915804;0.800928932983526
3;_pca;0.1;50;5;;0.9221259959095358;0.8055518265101139
3;_pca;0.1;100;5;;0.9478528844423202;0.8061899931251697
3;_pca;0.1;200;5;;0.9807976408965476;0.8072494874144941
3;_pca;0.1;500;5;;0.9992458383765914;0.8069567245071285
3;_pca;0.1;20;5;0.5;0.890243436379764;0.803486064265285
3;_pca;0.1;50;5;0.5;0.9240544254577997;0.8092882218631023
3;_pca;0.1;100;5;0.5;0.9488026802886396;0.8105744517703286
3;_pca;0.1;200;5;0.5;0.9788630203152735;0.8085849531765084
3;_pca;0.1;500;5;0.5;0.9998009078553701;0.8047191461915462
3;_pca;0.1;20;5;0.75;0.8912464400804078;0.8010919212561783
